Player,Stats
Ty Rowell,"[[[12.1, 13.5, 146.9, 24.9, 73.8, 74.5, 0.0, 2.8, 20.4, 5.5, 0.0, 1.3, 4.8, 0.333, 20.4, 0.6, 6.166666666666667], '20201114-20201201'], [[2.7, -1.0, 120.9, 18.7, 42.0, 48.6, 0.0, 5.5, 30.4, 12.3, 0.0, 0.8, 32.0, 0.273, 10.7, 0.357, 6.166666666666667], '20201201-20201214'], [[-3.2, -13.5, 56.0, 23.0, 25.0, 25.1, 1.6, 3.8, 25.2, 19.2, 0.0, 0.9, 18.2, 0.267, 6.2, 0.143, 6.166666666666667], '20210101-20210114'], [[4.9, -0.4, 116.3, 24.7, 55.6, 60.7, 1.3, 4.3, 33.5, 19.9, 0.0, 1.1, 50.8, 0.5, 9.6, 0.4, 6.166666666666667], '20210114-20210201'], [[3.3, -2.2, 107.7, 25.4, 52.8, 55.0, 3.4, 3.5, 31.0, 20.7, 0.0, 0.8, 20.8, 0.406, 7.9, 0.476, 6.166666666666667], '20210201-20210214'], [[3.2, 0.9, 101.1, 25.6, 42.3, 46.6, 4.5, 2.8, 35.5, 16.1, 0.0, 0.5, 38.5, 0.391, 8.2, 0.313, 6.166666666666667], '20210214-20210301'], [[1.4, -5.5, 94.0, 21.6, 41.4, 49.1, 1.2, 3.6, 25.5, 22.5, 0.0, 1.9, 48.3, 0.429, 7.3, 0.267, 6.166666666666667], '20210301-20210314']]"
Mark Carbone,"[[[10.8, 17.4, 207.0, 10.0, 107.1, 107.1, 3.8, 8.1, 6.1, 0.0, 0.0, 3.8, 0.0, 0.0, 11.7, 0.833, 6.166666666666667], '20201114-20201201'], [[-0.9, -5.2, 89.3, 15.1, 40.6, 44.2, 1.9, 10.9, 6.9, 26.4, 2.1, 1.0, 12.5, 1.0, 14.0, 0.214, 6.166666666666667], '20201201-20201214'], [[-1.5, -6.6, 78.9, 9.2, 50.0, 50.0, 0.0, 5.7, 8.8, 28.6, 0.0, 0.0, 0.0, 0.0, 5.3, 0.5, 6.166666666666667], '20210101-20210114'], [[3.5, 3.0, 152.2, 10.4, 75.0, 80.3, 0.0, 6.6, 10.6, 9.2, 0.8, 1.4, 45.0, 0.0, 9.1, 0.526, 6.166666666666667], '20210114-20210201'], [[0.8, -2.4, 113.0, 12.5, 66.7, 68.6, 0.0, 3.1, 4.0, 21.7, 0.0, 1.4, 11.1, 0.0, 10.2, 0.533, 6.166666666666667], '20210201-20210214'], [[0.6, -0.5, 105.6, 11.5, 57.7, 55.7, 1.6, 9.6, 8.5, 15.7, 0.0, 1.8, 7.7, 0.0, 9.9, 0.455, 6.166666666666667], '20210214-20210301'], [[0.3, -4.0, 101.3, 11.8, 42.9, 66.5, 0.0, 5.5, 8.9, 32.0, 1.3, 1.5, 128.6, 0.0, 5.3, 0.286, 6.166666666666667], '20210301-20210314']]"
Theo Akwuba,"[[[11.8, 168.2, 17.9, 105.6, 100.9, 15.2, 12.8, 5.7, 16.5, 4.6, 0.0, 44.4, 1.0, 1.5, 1.0, 6.916666666666667], '20201114-20201201'], [[7.7, 118.5, 20.7, 58.3, 67.6, 16.3, 38.3, 4.9, 21.4, 6.1, 2.2, 75.0, 0.583, 0.0, 0.0, 6.916666666666667], '20201201-20201214'], [[1.3, 80.0, 19.1, 47.4, 48.7, 10.7, 24.9, 3.8, 30.5, 19.3, 0.6, 73.7, 0.474, 0.0, 0.0, 6.916666666666667], '20201214-20210101'], [[3.9, 112.7, 22.2, 64.0, 67.7, 19.6, 23.4, 7.2, 26.6, 11.1, 0.5, 88.0, 0.64, 0.0, 0.0, 6.916666666666667], '20210101-20210114'], [[3.1, 120.3, 17.8, 60.0, 62.7, 9.6, 18.5, 9.8, 16.9, 7.3, 0.7, 24.4, 0.6, 0.0, 0.0, 6.916666666666667], '20210114-20210201'], [[-1.3, 116.5, 22.4, 61.1, 67.0, 19.5, 16.1, 7.9, 27.4, 5.0, 1.0, 63.0, 0.577, 0.5, 1.0, 6.916666666666667], '20210201-20210214'], [[7.2, 131.0, 18.6, 63.2, 62.8, 17.2, 21.8, 13.1, 8.1, 6.1, 0.0, 63.2, 0.632, 0.0, 0.0, 6.916666666666667], '20210214-20210301'], [[8.3, 144.9, 17.0, 76.5, 71.4, 14.5, 20.0, 0.0, 5.9, 9.6, 1.0, 23.5, 0.765, 0.0, 0.0, 6.916666666666667], '20210301-20210314']]"
Javonte Perkins,"[[[9.7, 20.5, 172.2, 25.9, 75.9, 80.0, 4.7, 11.7, 29.1, 0.0, 0.0, 0.0, 34.5, 0.625, 13.0, 0.615, 6.5], '20201114-20201201'], [[2.8, 4.9, 135.7, 20.6, 65.8, 65.8, 6.0, 15.2, 16.5, 12.1, 2.9, 2.5, 0.0, 0.615, 7.4, 0.5, 6.5], '20201201-20201214'], [[2.8, 1.7, 102.5, 23.1, 53.1, 55.7, 0.9, 7.4, 7.3, 19.7, 1.0, 1.4, 32.7, 0.459, 5.5, 0.5, 6.5], '20201214-20210101'], [[3.4, 3.5, 96.6, 33.9, 44.4, 50.3, 0.0, 15.6, 19.7, 5.1, 0.0, 3.5, 22.2, 0.533, 5.2, 0.0, 6.5], '20210114-20210201'], [[3.8, 6.6, 108.2, 26.5, 46.0, 50.6, 3.2, 11.1, 14.9, 9.0, 1.8, 2.9, 21.0, 0.441, 13.4, 0.321, 6.5], '20210201-20210214'], [[3.8, 5.7, 115.3, 21.0, 51.6, 54.7, 2.9, 15.0, 12.0, 12.9, 3.3, 0.4, 16.1, 0.447, 9.3, 0.417, 6.5], '20210214-20210301'], [[4.5, 3.0, 114.1, 23.9, 47.4, 54.7, 2.5, 12.4, 6.5, 10.5, 2.6, 0.6, 41.0, 0.586, 6.3, 0.1, 6.5], '20210301-20210314'], [[2.9, -0.4, 93.2, 28.4, 52.6, 53.9, 3.1, 8.1, 0.0, 17.0, 6.4, 0.0, 5.3, 0.636, 12.9, 0.25, 6.5], '20210314-20210401']]"
Corey Kispert,"[[[14.7, 154.5, 19.3, 75.9, 79.1, 3.9, 13.3, 4.3, 7.8, 0.0, 1.5, 25.9, 0.909, 12.0, 0.438, 6.583333333333333], '20201114-20201201'], [[9.5, 128.0, 20.0, 63.6, 66.3, 3.4, 12.5, 9.4, 7.8, 2.6, 0.0, 63.6, 0.571, 6.3, 0.5, 6.583333333333333], '20201201-20201214'], [[16.1, 160.4, 21.0, 76.4, 77.6, 6.9, 12.3, 15.4, 4.8, 1.3, 1.0, 14.9, 0.694, 12.7, 0.553, 6.583333333333333], '20201214-20210101'], [[11.7, 137.1, 20.3, 67.6, 70.3, 1.8, 14.6, 11.6, 11.4, 0.0, 1.2, 27.8, 0.714, 10.0, 0.423, 6.583333333333333], '20210101-20210114'], [[9.8, 125.7, 19.6, 65.0, 68.8, 0.8, 20.2, 4.9, 13.5, 0.6, 1.0, 21.7, 0.5, 11.9, 0.5, 6.583333333333333], '20210114-20210201'], [[6.3, 104.9, 20.5, 50.0, 57.9, 2.9, 6.0, 7.9, 19.1, 3.3, 2.8, 51.9, 0.4, 6.7, 0.417, 6.583333333333333], '20210201-20210214'], [[12.7, 129.2, 22.8, 63.6, 67.4, 4.2, 17.2, 5.1, 10.5, 3.0, 3.2, 30.9, 0.69, 10.4, 0.385, 6.583333333333333], '20210214-20210301'], [[4.0, 106.9, 23.1, 48.0, 54.7, 1.8, 14.9, 9.4, 14.4, 0.0, 0.0, 28.0, 0.6, 12.5, 0.267, 6.583333333333333], '20210301-20210314'], [[9.5, 127.7, 20.5, 63.0, 64.1, 7.7, 13.6, 6.3, 10.8, 0.7, 1.3, 16.0, 0.45, 13.4, 0.5, 6.583333333333333], '20210314-20210401'], [[5.8, 105.9, 18.0, 52.0, 52.0, 1.8, 12.1, 14.3, 7.9, 2.4, 2.2, 8.0, 0.7, 10.7, 0.267, 6.583333333333333], '20210401-20210414']]"
Sam Iorio,"[[[8.8, 14.5, 164.1, 17.6, 100.0, 101.3, 4.3, 9.5, 18.0, 20.4, 5.1, 1.8, 66.7, 0.75, 3.6, 1.0, 6.583333333333333], '20201114-20201201'], [[-2.6, -11.9, 48.0, 18.2, 28.6, 28.1, 0.0, 3.8, 7.9, 32.0, 0.0, 2.9, 57.1, 0.5, 4.4, 0.0, 6.583333333333333], '20201201-20201214'], [[1.4, -3.9, 103.2, 16.8, 43.2, 46.0, 6.6, 7.8, 10.1, 13.1, 2.4, 0.0, 18.2, 0.471, 3.7, 0.2, 6.583333333333333], '20201214-20210101'], [[0.0, -2.2, 90.2, 16.4, 45.0, 45.0, 2.1, 12.0, 11.5, 20.1, 2.9, 1.1, 0.0, 0.375, 7.7, 0.357, 6.583333333333333], '20210101-20210114'], [[2.4, 4.0, 113.1, 17.5, 47.9, 50.1, 8.2, 14.5, 9.4, 6.7, 7.0, 1.6, 8.5, 0.5, 9.0, 0.304, 6.583333333333333], '20210201-20210214'], [[1.8, 0.4, 106.6, 24.4, 60.0, 60.7, 0.0, 8.3, 6.6, 11.0, 0.0, 1.3, 15.0, 0.667, 14.7, 0.364, 6.583333333333333], '20210301-20210314']]"
Nendah Tarke,"[[[8.7, 3.3, 208.8, 5.8, 100.0, 100.0, 6.2, 4.5, 7.4, 0.0, 0.0, 3.9, 0.0, 0.0, 5.9, 0.667, 6.333333333333333], '20201114-20201201'], [[-2.0, -5.7, 67.6, 14.9, 47.5, 49.9, 0.7, 19.0, 4.9, 33.9, 0.8, 3.5, 85.0, 0.8, 3.9, 0.1, 6.333333333333333], '20201201-20201214'], [[0.3, -0.8, 101.8, 19.1, 42.9, 56.2, 6.0, 17.6, 13.9, 19.7, 0.0, 4.8, 271.4, 0.75, 2.8, 0.0, 6.333333333333333], '20210101-20210114'], [[0.4, -3.3, 92.8, 20.2, 50.0, 55.4, 4.1, 13.8, 13.5, 26.1, 1.9, 1.4, 44.8, 0.438, 6.2, 0.385, 6.333333333333333], '20210114-20210201'], [[2.9, 1.5, 110.4, 21.6, 63.0, 68.5, 4.5, 8.4, 4.8, 22.1, 1.0, 3.2, 74.1, 0.733, 6.4, 0.333, 6.333333333333333], '20210201-20210214'], [[1.7, 7.5, 111.7, 23.4, 63.6, 59.3, 9.1, 14.2, 6.1, 10.7, 5.0, 5.9, 63.6, 0.667, 8.4, 0.4, 6.333333333333333], '20210214-20210301'], [[1.4, 5.4, 104.7, 17.2, 63.6, 65.4, 3.3, 14.5, 9.5, 17.7, 0.0, 3.1, 9.1, 0.667, 7.6, 0.4, 6.333333333333333], '20210301-20210314']]"
Jamal King,"[[[13.7, 248.7, 5.6, 133.3, 133.3, 10.8, 13.7, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 5.2, 1.0, 6.416666666666667], '20201114-20201201']]"
Brandon Whitney,"[[[12.2, 138.3, 19.4, 45.0, 59.5, 2.6, 0.0, 21.7, 0.0, 0.0, 0.0, 90.0, 0.429, 4.9, 0.333, 6.083333333333333], '20201114-20201201'], [[-4.0, 76.1, 18.7, 41.2, 49.5, 0.0, 6.5, 12.6, 29.8, 0.0, 1.9, 64.7, 0.333, 3.1, 0.4, 6.083333333333333], '20201201-20201214'], [[-3.0, 73.7, 17.2, 61.1, 59.6, 2.4, 5.7, 8.5, 42.8, 0.0, 1.0, 44.4, 0.25, 5.2, 0.6, 6.083333333333333], '20201214-20210101'], [[1.8, 116.7, 15.6, 58.8, 59.0, 2.9, 0.0, 26.7, 13.7, 1.2, 1.4, 41.2, 0.714, 2.1, 0.0, 6.083333333333333], '20210101-20210114'], [[4.6, 120.3, 26.7, 61.1, 64.4, 5.3, 4.9, 22.1, 16.2, 0.0, 1.4, 40.0, 0.606, 5.8, 0.417, 6.083333333333333], '20210114-20210201'], [[-3.6, 84.6, 22.8, 30.3, 40.9, 3.1, 12.2, 24.7, 23.4, 0.9, 2.7, 54.5, 0.37, 2.7, 0.0, 6.083333333333333], '20210201-20210214'], [[-6.6, 80.8, 19.7, 32.7, 41.0, 1.2, 4.6, 18.0, 20.0, 0.0, 0.6, 46.2, 0.304, 1.7, 0.333, 6.083333333333333], '20210214-20210301'], [[-4.7, 99.8, 17.9, 47.4, 51.5, 4.5, 7.1, 14.5, 15.8, 0.0, 0.0, 36.8, 0.429, 3.5, 0.4, 6.083333333333333], '20210301-20210314']]"
Xavier Bishop,"[[[8.2, 14.4, 165.2, 26.2, 77.8, 85.9, 0.0, 23.3, 29.6, 8.1, 0.0, 2.1, 88.9, 0.8, 8.5, 0.5, 5.666666666666667], '20201114-20201201'], [[0.9, -4.7, 79.1, 32.5, 28.1, 37.9, 0.0, 17.8, 16.0, 9.8, 0.0, 1.6, 50.0, 0.333, 11.2, 0.143, 5.666666666666667], '20201201-20201214'], [[0.5, -0.8, 86.7, 23.6, 50.0, 48.2, 1.7, 8.8, 18.8, 13.0, 0.0, 1.0, 28.6, 0.375, 5.1, 0.6, 5.666666666666667], '20201214-20210101'], [[4.8, 5.4, 118.1, 23.3, 62.5, 67.1, 0.0, 13.2, 24.5, 20.9, 0.0, 2.4, 33.3, 0.652, 6.3, 0.385, 5.666666666666667], '20210101-20210114'], [[2.1, 0.7, 102.2, 24.3, 45.8, 53.3, 0.0, 11.8, 33.5, 18.6, 0.0, 2.7, 63.9, 0.444, 4.1, 0.333, 5.666666666666667], '20210114-20210201'], [[1.6, -6.4, 96.1, 24.7, 47.6, 52.4, 0.0, 10.9, 18.5, 21.1, 0.0, 0.0, 38.1, 0.286, 6.6, 0.571, 5.666666666666667], '20210201-20210214'], [[1.7, -6.5, 97.6, 29.5, 43.1, 45.3, 2.2, 8.6, 31.1, 18.3, 0.0, 0.9, 13.8, 0.381, 7.2, 0.375, 5.666666666666667], '20210214-20210301'], [[0.1, -6.7, 85.0, 24.6, 27.1, 37.8, 1.5, 7.4, 26.8, 14.9, 0.0, 0.7, 44.1, 0.278, 7.6, 0.174, 5.666666666666667], '20210301-20210314']]"
