Player,Stats
DJ Richards,"[[[95.0, 11.6, 11.9, 188.1, 10.9, 94.4, 94.4, 2.9, 3.1, 0.0, 0.0, 0.0, 1.6, 0.0, 0.333, 9.6, 0.833, 6.333333333333333], '20231101-20231114'], [[72.5, 0.1, -5.2, 99.2, 11.2, 54.8, 55.9, 0.0, 5.0, 0.0, 20.1, 1.2, 1.1, 4.8, 0.769, 4.5, 0.125, 6.333333333333333], '20231114-20231201'], [[57.5, 5.0, 16.1, 155.5, 20.5, 76.2, 77.4, 2.3, 7.9, 4.4, 0.0, 0.0, 0.0, 9.5, 0.667, 19.0, 0.533, 6.333333333333333], '20231201-20231214'], [[66.7, -1.1, -6.4, 90.4, 12.5, 34.2, 40.7, 1.5, 11.4, 2.6, 5.9, 0.0, 1.5, 21.1, 0.222, 7.4, 0.3, 6.333333333333333], '20240101-20240114'], [[60.5, 3.5, 7.0, 141.3, 17.5, 68.6, 73.2, 4.2, 8.7, 5.9, 10.9, 0.0, 2.9, 40.0, 0.429, 13.4, 0.5, 6.333333333333333], '20240114-20240201'], [[57.5, 2.6, 8.0, 130.1, 18.4, 58.8, 60.8, 1.3, 10.9, 7.5, 3.4, 0.0, 5.0, 23.5, 0.222, 15.7, 0.48, 6.333333333333333], '20240201-20240214'], [[68.3, 1.4, -0.2, 118.3, 14.6, 40.0, 53.5, 1.4, 4.5, 2.1, 4.9, 1.8, 2.2, 55.0, 0.5, 11.6, 0.25, 6.333333333333333], '20240214-20240301'], [[64.5, 4.2, 6.4, 151.2, 16.8, 69.8, 70.5, 1.0, 6.3, 4.2, 0.0, 0.0, 2.3, 39.5, 0.667, 15.8, 0.471, 6.333333333333333], '20240301-20240314'], [[82.5, 2.9, 3.3, 117.1, 13.8, 50.0, 50.3, 0.0, 7.6, 18.8, 0.0, 0.0, 0.0, 22.2, 0.0, 12.2, 0.429, 6.333333333333333], '20240314-20240401']]"
Shamir Bogues,"[[[16.7, 167.2, 22.3, 83.3, 87.2, 8.6, 7.6, 16.2, 10.3, 0.0, 2.3, 44.4, 0.75, 2.3, 1.0, 6.333333333333333], '20231101-20231114'], [[3.7, 97.1, 24.4, 54.1, 52.1, 5.0, 16.1, 20.2, 20.1, 2.2, 4.5, 32.7, 0.595, 2.6, 0.143, 6.333333333333333], '20231114-20231201'], [[9.3, 110.1, 24.7, 59.1, 58.8, 6.4, 21.2, 19.1, 16.9, 3.1, 5.2, 9.1, 0.556, 4.2, 0.5, 6.333333333333333], '20231201-20231214'], [[2.5, 101.8, 21.0, 52.9, 54.2, 6.0, 18.9, 11.1, 16.0, 3.2, 2.8, 5.7, 0.567, 2.8, 0.2, 6.333333333333333], '20240114-20240201'], [[1.8, 106.8, 17.9, 61.5, 63.4, 3.3, 13.0, 11.9, 22.5, 4.2, 1.7, 19.2, 0.619, 2.9, 0.4, 6.333333333333333], '20240201-20240214'], [[6.7, 113.9, 26.7, 51.0, 53.4, 10.6, 15.7, 26.4, 10.4, 0.9, 2.8, 26.0, 0.558, 3.2, 0.143, 6.333333333333333], '20240214-20240301'], [[2.3, 90.0, 24.3, 35.0, 39.8, 5.1, 9.7, 25.2, 12.4, 2.0, 6.0, 27.5, 0.4, 2.5, 0.0, 6.333333333333333], '20240301-20240314'], [[11.2, 104.5, 27.4, 50.0, 51.2, 3.1, 23.2, 26.8, 6.8, 0.0, 5.6, 40.7, 0.545, 4.6, 0.2, 6.333333333333333], '20240314-20240401']]"
Tucker DeVries,"[[[20.8, 137.7, 46.3, 61.4, 65.0, 4.3, 16.1, 46.9, 7.8, 3.6, 0.0, 54.5, 0.643, 14.4, 0.375, 6.583333333333333], '20231101-20231114'], [[1.5, 102.7, 24.2, 50.8, 53.7, 1.4, 23.3, 13.3, 14.1, 0.0, 2.4, 30.8, 0.583, 9.9, 0.276, 6.583333333333333], '20231114-20231201'], [[9.1, 101.7, 28.0, 44.0, 48.6, 2.4, 21.3, 21.5, 8.8, 2.5, 4.1, 22.4, 0.406, 14.4, 0.314, 6.583333333333333], '20231201-20231214'], [[-3.1, 84.7, 29.2, 36.1, 40.2, 3.1, 12.4, 18.0, 18.5, 0.0, 2.3, 22.2, 0.438, 15.4, 0.2, 6.583333333333333], '20231214-20240101'], [[11.8, 121.7, 34.0, 61.4, 64.9, 1.0, 18.5, 27.7, 13.0, 1.2, 1.8, 30.3, 0.568, 12.9, 0.448, 6.583333333333333], '20240101-20240114'], [[8.3, 107.1, 29.8, 52.6, 57.2, 1.4, 18.8, 21.1, 16.6, 2.4, 3.0, 31.6, 0.432, 10.6, 0.438, 6.583333333333333], '20240114-20240201'], [[3.7, 102.2, 31.5, 47.1, 55.3, 0.8, 24.5, 12.8, 14.3, 0.8, 2.3, 43.5, 0.512, 9.7, 0.269, 6.583333333333333], '20240201-20240214'], [[8.1, 114.7, 33.9, 55.3, 59.4, 4.9, 22.1, 20.0, 12.0, 0.7, 2.2, 46.1, 0.5, 12.6, 0.412, 6.583333333333333], '20240214-20240301'], [[12.7, 118.3, 33.6, 53.2, 60.7, 3.8, 22.7, 27.9, 11.9, 0.0, 3.1, 42.9, 0.472, 12.0, 0.407, 6.583333333333333], '20240301-20240314'], [[1.0, 85.2, 28.0, 36.1, 36.9, 0.0, 8.8, 33.8, 5.7, 0.0, 0.0, 11.1, 0.357, 6.4, 0.25, 6.583333333333333], '20240314-20240401']]"
Tra'Michael Moton,"[[[9.0, 20.6, 133.1, 34.5, 63.3, 69.1, 0.0, 4.2, 56.8, 10.2, 0.0, 5.2, 53.3, 0.5, 8.8, 0.6, 6.083333333333333], '20231101-20231114'], [[-0.1, -5.9, 84.2, 18.6, 41.7, 47.6, 2.5, 7.1, 18.5, 26.5, 0.0, 1.6, 29.2, 0.438, 4.4, 0.25, 6.083333333333333], '20231114-20231201'], [[-3.8, -15.6, 46.0, 17.2, 13.3, 23.7, 0.0, 6.6, 16.0, 36.5, 0.0, 0.0, 26.7, 0.2, 3.9, 0.0, 6.083333333333333], '20231201-20231214'], [[-0.8, -7.5, 73.3, 26.0, 40.5, 47.3, 1.6, 8.7, 12.3, 31.9, 0.0, 1.6, 33.3, 0.538, 6.6, 0.125, 6.083333333333333], '20231214-20240101'], [[-0.3, -3.3, 85.2, 23.3, 40.0, 44.1, 5.2, 9.8, 20.4, 24.8, 1.1, 4.4, 28.0, 0.5, 3.6, 0.0, 6.083333333333333], '20240101-20240114'], [[3.1, 7.0, 120.0, 27.7, 56.9, 66.1, 1.2, 9.2, 18.2, 20.9, 0.0, 4.7, 63.9, 0.588, 11.0, 0.368, 6.083333333333333], '20240114-20240201'], [[1.5, 1.0, 101.7, 23.5, 44.9, 48.1, 5.8, 10.4, 13.4, 13.2, 0.7, 4.4, 30.6, 0.351, 5.3, 0.5, 6.083333333333333], '20240201-20240214'], [[2.5, 0.4, 104.3, 26.9, 44.7, 49.0, 6.4, 12.2, 21.5, 16.8, 1.2, 3.9, 15.8, 0.458, 9.1, 0.286, 6.083333333333333], '20240214-20240301'], [[2.4, 1.7, 109.5, 22.4, 50.9, 55.4, 1.7, 5.9, 13.9, 12.9, 0.6, 4.0, 38.2, 0.345, 9.4, 0.462, 6.083333333333333], '20240301-20240314'], [[3.0, 2.8, 105.9, 26.0, 53.8, 53.7, 0.9, 12.9, 32.4, 14.0, 0.0, 2.3, 19.2, 0.382, 8.2, 0.556, 6.083333333333333], '20240314-20240401']]"
Trey Calvin,"[[[8.7, 10.9, 141.7, 28.9, 61.5, 65.0, 1.9, 0.0, 19.0, 2.8, 0.0, 3.3, 17.9, 0.556, 9.8, 0.5, 6.0], '20231101-20231114'], [[4.2, 4.2, 123.1, 24.0, 54.4, 59.0, 0.0, 7.1, 18.3, 12.5, 0.0, 3.0, 21.1, 0.444, 9.0, 0.476, 6.0], '20231114-20231201'], [[5.6, 5.1, 111.6, 31.8, 53.6, 56.3, 1.5, 3.5, 19.2, 11.6, 0.0, 4.4, 16.7, 0.545, 6.6, 0.333, 6.0], '20231201-20231214'], [[2.3, -2.5, 104.8, 25.0, 47.7, 49.5, 1.4, 10.1, 22.2, 12.9, 2.3, 3.2, 6.8, 0.441, 5.4, 0.4, 6.0], '20231214-20240101'], [[2.9, -1.6, 113.0, 20.3, 57.7, 59.9, 0.0, 4.5, 13.9, 14.4, 0.0, 1.5, 19.2, 0.484, 7.7, 0.476, 6.0], '20240101-20240114'], [[5.6, 3.4, 128.3, 26.6, 59.3, 65.2, 1.5, 3.0, 25.6, 11.3, 0.5, 1.5, 50.0, 0.5, 7.8, 0.5, 6.0], '20240114-20240201'], [[4.5, 0.7, 116.8, 24.2, 50.0, 57.0, 3.3, 8.9, 16.6, 12.8, 0.0, 2.1, 46.3, 0.619, 10.3, 0.25, 6.0], '20240201-20240214'], [[3.4, 1.8, 117.2, 20.3, 50.0, 56.7, 0.0, 11.2, 23.4, 14.1, 0.0, 2.4, 35.3, 0.524, 6.2, 0.308, 6.0], '20240214-20240301'], [[5.2, 1.2, 127.4, 21.7, 55.4, 62.0, 1.6, 9.6, 12.3, 9.5, 0.0, 2.1, 50.0, 0.571, 9.6, 0.357, 6.0], '20240301-20240314']]"
Tyrese Hughey,"[[[6.5, 228.4, 5.5, 116.7, 116.7, 12.2, 26.5, 5.1, 0.0, 0.0, 0.0, 0.0, 1.0, 2.0, 1.0, 6.5], '20231101-20231114'], [[-3.7, 98.8, 16.4, 40.9, 45.7, 10.4, 14.1, 9.6, 18.3, 5.1, 1.2, 40.9, 0.5, 6.0, 0.2, 6.5], '20240101-20240114'], [[2.4, 128.5, 12.6, 92.9, 86.1, 6.1, 12.3, 2.6, 23.5, 4.6, 0.7, 42.9, 1.0, 5.2, 0.571, 6.5], '20240201-20240214']]"
Kyle Rode,"[[[15.4, 148.8, 27.0, 71.4, 71.4, 8.9, 4.6, 13.8, 8.3, 3.3, 0.0, 0.0, 0.667, 17.9, 0.5, 6.583333333333333], '20231101-20231114'], [[6.3, 114.4, 26.0, 50.7, 53.9, 3.4, 19.0, 19.2, 9.1, 0.0, 2.7, 24.0, 0.393, 15.9, 0.383, 6.583333333333333], '20231114-20231201'], [[-0.6, 94.1, 28.1, 43.2, 43.9, 3.7, 15.2, 13.1, 11.7, 0.0, 1.1, 5.1, 0.261, 19.7, 0.361, 6.583333333333333], '20231201-20231214'], [[4.7, 114.1, 20.6, 50.0, 50.0, 0.0, 16.7, 26.8, 0.0, 3.5, 2.1, 0.0, 0.615, 9.6, 0.222, 6.583333333333333], '20231214-20240101'], [[3.5, 94.8, 25.4, 42.7, 45.4, 5.6, 14.2, 13.8, 8.5, 0.9, 2.7, 16.7, 0.364, 20.0, 0.297, 6.583333333333333], '20240101-20240114'], [[3.5, 118.7, 22.2, 57.9, 60.5, 4.4, 17.1, 7.9, 6.7, 0.0, 0.4, 15.9, 0.444, 16.7, 0.422, 6.583333333333333], '20240114-20240201'], [[-3.6, 90.5, 21.2, 39.8, 41.4, 6.1, 12.6, 11.6, 8.5, 0.0, 0.0, 9.1, 0.368, 11.3, 0.28, 6.583333333333333], '20240201-20240214'], [[8.0, 138.1, 22.0, 64.9, 67.0, 4.7, 14.7, 20.5, 7.9, 0.0, 0.6, 18.9, 0.545, 15.0, 0.462, 6.583333333333333], '20240214-20240301'], [[0.6, 98.9, 24.8, 55.8, 57.7, 1.0, 18.4, 13.6, 18.6, 0.0, 1.3, 21.2, 0.5, 17.6, 0.381, 6.583333333333333], '20240301-20240314'], [[-7.9, 74.6, 26.9, 45.5, 45.5, 0.0, 12.7, 32.8, 33.7, 0.0, 0.0, 0.0, 0.5, 12.7, 0.286, 6.583333333333333], '20240314-20240401']]"
Dominique Daniels,"[[[85.0, 8.3, 13.6, 153.8, 27.4, 65.6, 69.8, 3.7, 3.4, 35.5, 6.5, 0.0, 1.8, 25.0, 0.5, 17.8, 0.5, 5.833333333333333], '20231101-20231114'], [[81.3, 1.6, -0.9, 100.1, 24.8, 39.4, 45.3, 2.4, 3.6, 17.1, 13.2, 0.0, 1.4, 30.8, 0.323, 9.8, 0.333, 5.833333333333333], '20231114-20231201'], [[82.5, 4.9, 7.0, 116.3, 29.1, 45.9, 51.5, 1.5, 4.8, 21.2, 3.0, 0.0, 1.8, 27.0, 0.579, 15.9, 0.222, 5.833333333333333], '20231201-20231214'], [[90.6, 4.1, 2.9, 115.1, 25.3, 49.2, 54.4, 2.2, 4.0, 13.8, 7.9, 0.0, 1.6, 28.1, 0.568, 10.8, 0.259, 5.833333333333333], '20231214-20240101'], [[93.1, 3.6, 2.0, 106.2, 25.4, 46.4, 50.7, 1.5, 4.7, 25.5, 16.6, 0.0, 0.4, 30.4, 0.407, 12.2, 0.345, 5.833333333333333], '20240101-20240114'], [[91.7, 5.7, 3.5, 119.8, 31.4, 52.7, 58.8, 1.0, 0.0, 25.0, 12.0, 0.0, 0.5, 40.0, 0.393, 14.5, 0.444, 5.833333333333333], '20240114-20240201']]"
Xavier DuSell,"[[[8.2, 8.8, 170.0, 12.8, 81.8, 81.8, 0.0, 20.3, 5.6, 0.0, 3.5, 1.6, 0.0, 0.75, 11.3, 0.571, 6.333333333333333], '20231101-20231114'], [[-1.2, -4.2, 86.1, 12.5, 38.6, 41.2, 0.8, 8.3, 3.7, 12.6, 0.0, 2.0, 8.6, 0.333, 10.2, 0.269, 6.333333333333333], '20231114-20231201'], [[4.6, 4.8, 161.9, 11.1, 90.6, 89.8, 0.0, 5.4, 4.3, 6.8, 0.0, 0.0, 31.3, 1.0, 11.3, 0.6, 6.333333333333333], '20231201-20231214'], [[1.0, -1.5, 103.3, 15.1, 57.6, 58.7, 0.0, 6.2, 3.2, 18.2, 0.0, 0.5, 12.1, 0.8, 12.8, 0.357, 6.333333333333333], '20231214-20240101'], [[1.4, 1.4, 105.7, 14.3, 59.5, 59.2, 0.0, 7.4, 2.5, 15.0, 1.3, 0.7, 9.5, 0.333, 10.7, 0.467, 6.333333333333333], '20240101-20240114'], [[1.1, -5.3, 105.0, 16.2, 51.1, 52.3, 1.0, 4.3, 1.3, 2.7, 0.8, 0.9, 9.1, 0.75, 17.3, 0.325, 6.333333333333333], '20240114-20240201'], [[6.5, 8.1, 148.7, 16.1, 80.0, 81.6, 0.0, 10.2, 5.1, 5.6, 0.0, 0.5, 25.0, 0.667, 12.6, 0.571, 6.333333333333333], '20240201-20240214'], [[3.3, -0.9, 110.5, 16.9, 52.7, 56.0, 0.0, 10.6, 3.5, 5.8, 0.6, 0.3, 21.8, 0.846, 13.7, 0.286, 6.333333333333333], '20240214-20240301'], [[1.2, -2.1, 99.4, 17.2, 44.3, 49.5, 0.0, 6.6, 1.3, 4.0, 0.0, 1.4, 26.4, 0.35, 11.3, 0.333, 6.333333333333333], '20240301-20240314'], [[0.1, -6.0, 90.6, 16.4, 50.0, 50.6, 0.0, 8.3, 0.0, 13.6, 0.0, 0.0, 66.7, 0.0, 11.1, 0.4, 6.333333333333333], '20240314-20240401']]"
Brandon Angel,"[[[10.2, 183.3, 13.5, 88.2, 90.7, 3.5, 16.3, 8.4, 0.0, 4.4, 0.0, 35.3, 0.8, 1.7, 1.0, 6.666666666666667], '20231101-20231114'], [[10.1, 137.2, 26.8, 76.9, 81.3, 7.8, 20.8, 19.0, 18.8, 0.0, 1.7, 38.5, 0.875, 8.4, 0.4, 6.666666666666667], '20231201-20231214'], [[-0.2, 111.1, 15.3, 52.9, 54.2, 3.1, 11.2, 9.2, 8.7, 0.0, 0.9, 11.4, 0.519, 3.5, 0.375, 6.666666666666667], '20231214-20240101'], [[5.0, 123.6, 18.1, 80.0, 82.6, 1.0, 11.8, 19.6, 27.2, 0.8, 0.4, 40.0, 0.632, 4.9, 0.727, 6.666666666666667], '20240101-20240114'], [[3.4, 117.3, 17.5, 59.7, 68.0, 1.4, 19.1, 10.1, 18.8, 0.6, 0.7, 77.8, 0.609, 4.3, 0.385, 6.666666666666667], '20240114-20240201'], [[-2.8, 105.4, 18.6, 50.0, 55.9, 1.9, 17.0, 10.6, 19.3, 0.0, 0.0, 44.1, 0.538, 3.6, 0.25, 6.666666666666667], '20240201-20240214'], [[4.0, 119.5, 20.3, 59.0, 63.9, 4.3, 14.8, 4.0, 10.4, 0.7, 1.1, 40.0, 0.613, 6.7, 0.368, 6.666666666666667], '20240214-20240301'], [[6.4, 121.2, 16.3, 66.1, 64.8, 2.7, 14.9, 7.9, 11.1, 2.6, 2.3, 51.6, 0.619, 4.5, 0.5, 6.666666666666667], '20240301-20240314'], [[5.8, 106.8, 25.7, 63.6, 58.1, 7.6, 15.2, 22.0, 13.9, 0.0, 1.8, 36.4, 0.875, 5.4, 0.0, 6.666666666666667], '20240314-20240401']]"
