Player,Stats
Corey Allen,"[[[11.4, 16.5, 161.9, 26.7, 65.8, 65.8, 6.7, 3.7, 30.5, 0.0, 0.0, 1.7, 0.0, 0.455, 14.0, 0.625, 6.166666666666667], '20211101-20211114'], [[1.4, -2.2, 86.1, 33.9, 40.3, 38.4, 5.9, 14.8, 14.6, 3.4, 0.0, 2.3, 19.4, 0.417, 22.2, 0.263, 6.166666666666667], '20211201-20211214'], [[0.2, 2.1, 73.8, 31.4, 43.3, 41.4, 2.8, 19.3, 15.3, 17.8, 0.0, 3.7, 26.7, 0.333, 16.7, 0.333, 6.166666666666667], '20211214-20220101'], [[0.4, 0.7, 80.8, 28.2, 30.3, 35.8, 0.0, 10.1, 28.0, 8.7, 2.8, 2.4, 21.2, 0.267, 14.7, 0.222, 6.166666666666667], '20220101-20220114'], [[1.7, 0.2, 95.5, 24.8, 43.5, 44.1, 0.8, 9.9, 14.4, 19.0, 0.9, 3.2, 4.8, 0.414, 15.5, 0.303, 6.166666666666667], '20220114-20220201'], [[0.8, 0.9, 86.7, 25.0, 38.4, 42.5, 0.9, 10.0, 28.5, 19.5, 0.0, 3.2, 25.6, 0.45, 12.4, 0.217, 6.166666666666667], '20220201-20220214'], [[1.3, -0.1, 94.7, 24.5, 45.7, 46.4, 1.0, 12.8, 18.1, 17.2, 0.0, 3.1, 21.3, 0.44, 11.6, 0.318, 6.166666666666667], '20220214-20220301'], [[8.8, 11.9, 141.4, 25.2, 55.6, 63.9, 1.0, 6.6, 34.3, 4.4, 0.0, 1.1, 42.2, 0.333, 13.4, 0.5, 6.166666666666667], '20220301-20220314'], [[2.7, 0.9, 90.5, 24.7, 36.8, 40.1, 0.0, 2.8, 14.3, 0.0, 0.0, 0.0, 10.5, 0.111, 15.9, 0.4, 6.166666666666667], '20220314-20220401']]"
Tavian Dunn-Martin,"[[[82.5, 11.4, 21.7, 141.8, 32.8, 77.5, 77.6, 0.0, 6.4, 51.9, 15.1, 0.0, 1.7, 20.0, 0.333, 23.1, 0.643, 5.666666666666667], '20211101-20211114'], [[77.5, 2.9, -2.1, 101.6, 30.2, 51.5, 58.9, 0.0, 9.7, 27.1, 26.2, 0.0, 2.1, 57.4, 0.5, 8.5, 0.357, 5.666666666666667], '20211114-20211201'], [[78.2, 2.8, -0.3, 100.1, 33.3, 48.3, 52.6, 1.0, 11.4, 39.7, 22.5, 0.0, 1.3, 33.9, 0.316, 17.7, 0.375, 5.666666666666667], '20211201-20211214'], [[92.9, 5.1, 4.2, 106.5, 36.3, 50.0, 54.6, 1.5, 9.9, 46.8, 21.8, 0.0, 2.9, 24.4, 0.526, 15.8, 0.318, 5.666666666666667], '20211214-20220101'], [[80.8, 4.7, 3.9, 116.2, 28.9, 47.3, 56.7, 1.1, 6.3, 48.5, 17.3, 0.0, 0.0, 40.5, 0.556, 11.9, 0.263, 5.666666666666667], '20220101-20220114'], [[81.5, 2.8, -2.7, 101.7, 29.5, 44.7, 50.3, 0.0, 5.5, 29.7, 18.5, 0.0, 1.4, 29.3, 0.276, 15.7, 0.37, 5.666666666666667], '20220114-20220201'], [[83.5, 6.4, 8.7, 120.7, 36.8, 55.1, 60.4, 5.7, 9.8, 40.9, 14.5, 0.0, 1.9, 36.7, 0.5, 14.1, 0.405, 5.666666666666667], '20220201-20220214'], [[87.3, 5.7, 5.1, 110.0, 36.9, 44.7, 52.7, 3.7, 6.6, 43.3, 14.8, 0.0, 2.9, 36.2, 0.467, 15.8, 0.286, 5.666666666666667], '20220214-20220301'], [[88.8, 7.1, 4.0, 121.9, 36.3, 55.7, 63.6, 1.9, 6.8, 20.8, 19.6, 0.0, 2.7, 40.0, 0.529, 16.0, 0.389, 5.666666666666667], '20220301-20220314'], [[85.0, 4.4, 4.3, 105.6, 36.2, 60.5, 61.9, 0.0, 10.4, 30.4, 24.1, 1.3, 2.4, 13.2, 0.524, 13.5, 0.471, 5.666666666666667], '20220314-20220401']]"
Jason Roche,"[[[10.1, 15.9, 168.7, 17.3, 85.7, 87.5, 3.0, 9.4, 0.0, 0.0, 0.0, 0.0, 21.4, 0.0, 21.9, 0.571, 6.416666666666667], '20211101-20211114'], [[-0.2, -4.3, 93.7, 13.3, 41.4, 49.0, 2.4, 6.7, 3.4, 14.4, 1.3, 0.4, 41.4, 0.0, 9.9, 0.308, 6.416666666666667], '20211114-20211201'], [[3.0, -0.7, 124.8, 13.4, 56.3, 62.1, 4.2, 7.9, 2.6, 5.9, 0.0, 1.6, 43.8, 0.0, 11.8, 0.4, 6.416666666666667], '20211201-20211214'], [[0.2, -2.5, 97.5, 15.6, 52.3, 56.5, 0.0, 12.3, 0.0, 19.3, 1.3, 0.8, 18.2, 0.5, 15.1, 0.35, 6.416666666666667], '20211214-20220101'], [[3.9, 1.6, 127.7, 14.1, 69.6, 70.2, 3.4, 10.3, 6.7, 14.6, 0.0, 1.0, 3.6, 0.0, 12.9, 0.52, 6.416666666666667], '20220101-20220114'], [[0.4, -3.8, 98.1, 15.2, 51.7, 54.8, 1.4, 12.5, 2.5, 14.6, 0.5, 0.5, 16.7, 0.667, 13.4, 0.333, 6.416666666666667], '20220114-20220201'], [[5.5, 4.2, 140.2, 16.2, 72.9, 75.2, 0.8, 9.1, 2.7, 7.0, 0.7, 0.7, 22.9, 0.667, 16.9, 0.489, 6.416666666666667], '20220201-20220214'], [[-0.6, -4.9, 92.2, 12.8, 40.7, 44.1, 1.1, 7.9, 5.6, 7.7, 1.2, 1.0, 11.6, 0.333, 13.1, 0.275, 6.416666666666667], '20220214-20220301'], [[0.9, -1.1, 97.5, 16.1, 44.4, 50.4, 2.8, 7.1, 7.0, 14.0, 0.0, 2.3, 33.3, 0.4, 9.8, 0.308, 6.416666666666667], '20220301-20220314']]"
Jeenathan Williams,"[[[13.2, 130.5, 29.2, 68.2, 68.3, 0.0, 23.4, 7.9, 9.9, 0.0, 0.0, 13.6, 0.706, 7.2, 0.4, 6.416666666666667], '20211101-20211114'], [[-2.9, 96.3, 27.4, 43.1, 44.9, 1.8, 14.3, 20.3, 16.5, 1.3, 0.8, 16.9, 0.458, 7.0, 0.235, 6.416666666666667], '20211114-20211201'], [[4.5, 102.3, 25.8, 42.2, 45.9, 5.5, 18.6, 15.7, 12.3, 1.8, 1.6, 23.5, 0.314, 8.5, 0.438, 6.416666666666667], '20211214-20220101'], [[-1.2, 98.3, 27.0, 52.7, 54.6, 4.3, 13.3, 12.7, 22.7, 4.0, 2.0, 30.4, 0.452, 5.7, 0.5, 6.416666666666667], '20220101-20220114'], [[10.2, 114.4, 25.6, 59.3, 60.3, 2.9, 17.8, 14.1, 14.7, 2.2, 3.7, 32.2, 0.5, 7.9, 0.526, 6.416666666666667], '20220114-20220201'], [[10.8, 127.7, 25.0, 67.9, 68.9, 6.3, 5.9, 14.5, 20.7, 5.0, 1.9, 20.5, 0.565, 10.4, 0.563, 6.416666666666667], '20220201-20220214'], [[4.8, 112.4, 26.8, 59.2, 58.8, 2.2, 8.8, 19.7, 19.4, 2.3, 2.6, 12.3, 0.525, 8.0, 0.5, 6.416666666666667], '20220214-20220301'], [[4.7, 101.5, 28.2, 54.3, 55.3, 6.3, 8.1, 23.5, 25.0, 1.7, 3.8, 8.7, 0.5, 7.6, 0.429, 6.416666666666667], '20220301-20220314']]"
Zach Cooks,"[[[9.8, 135.5, 25.7, 67.1, 68.9, 1.5, 11.2, 16.2, 11.5, 0.0, 0.7, 10.5, 0.706, 15.6, 0.429, 5.916666666666667], '20211101-20211114'], [[0.3, 95.3, 25.1, 43.8, 47.4, 0.0, 8.7, 21.3, 11.9, 0.7, 4.2, 20.8, 0.409, 8.3, 0.321, 5.916666666666667], '20211114-20211201'], [[-2.1, 94.9, 25.9, 41.5, 44.4, 0.0, 9.1, 22.2, 9.8, 0.0, 3.6, 21.3, 0.455, 7.1, 0.214, 5.916666666666667], '20211201-20211214'], [[2.8, 103.9, 27.2, 50.0, 54.0, 1.6, 5.4, 14.7, 12.9, 0.0, 2.8, 22.2, 0.556, 6.3, 0.222, 5.916666666666667], '20220114-20220201'], [[-4.1, 90.5, 23.8, 38.6, 41.2, 2.9, 11.5, 19.5, 16.4, 0.0, 1.9, 15.9, 0.296, 8.3, 0.353, 5.916666666666667], '20220201-20220214'], [[-6.8, 80.3, 20.5, 37.5, 37.8, 0.9, 5.5, 12.3, 9.4, 0.0, 3.4, 4.5, 0.444, 8.2, 0.176, 5.916666666666667], '20220214-20220301'], [[0.7, 113.7, 20.9, 58.3, 61.8, 6.2, 0.0, 11.2, 15.6, 0.0, 3.2, 16.7, 0.667, 9.8, 0.333, 5.916666666666667], '20220301-20220314']]"
Ochai Agbaji,"[[[14.6, 152.0, 21.4, 69.7, 72.4, 0.0, 12.7, 5.3, 0.0, 1.2, 1.6, 27.3, 0.7, 10.2, 0.462, 6.416666666666667], '20211101-20211114'], [[9.7, 125.6, 25.7, 59.8, 60.7, 5.8, 7.1, 11.1, 8.8, 0.0, 1.8, 19.7, 0.605, 10.4, 0.391, 6.416666666666667], '20211114-20211201'], [[13.8, 148.6, 19.9, 77.5, 76.5, 4.0, 14.4, 9.5, 11.5, 1.2, 0.6, 20.0, 0.619, 10.9, 0.632, 6.416666666666667], '20211201-20211214'], [[5.2, 103.5, 20.0, 51.3, 52.5, 4.3, 18.3, 6.3, 12.6, 1.2, 3.1, 15.0, 0.476, 9.6, 0.368, 6.416666666666667], '20211214-20220101'], [[7.3, 117.8, 21.5, 58.3, 61.6, 3.4, 13.0, 4.8, 13.7, 0.7, 0.4, 20.4, 0.409, 13.5, 0.469, 6.416666666666667], '20220101-20220114'], [[9.6, 112.7, 25.4, 57.2, 57.7, 2.6, 14.0, 8.9, 12.5, 2.1, 0.9, 28.9, 0.5, 12.3, 0.436, 6.416666666666667], '20220114-20220201'], [[5.8, 104.4, 22.2, 47.6, 56.2, 1.9, 18.4, 11.1, 20.1, 0.7, 1.6, 57.1, 0.579, 9.3, 0.261, 6.416666666666667], '20220201-20220214'], [[10.4, 112.8, 27.4, 52.5, 58.3, 1.8, 15.7, 16.2, 15.6, 1.1, 1.6, 31.6, 0.487, 13.1, 0.375, 6.416666666666667], '20220214-20220301'], [[1.8, 91.0, 26.4, 43.3, 48.8, 2.7, 11.2, 6.1, 18.6, 2.2, 1.6, 29.2, 0.449, 10.9, 0.275, 6.416666666666667], '20220301-20220314'], [[6.4, 91.7, 20.5, 45.8, 47.3, 3.3, 13.6, 9.2, 18.0, 4.6, 3.3, 16.7, 0.485, 6.1, 0.267, 6.416666666666667], '20220314-20220401'], [[10.1, 125.6, 17.9, 79.4, 72.7, 1.7, 5.0, 4.7, 14.1, 2.9, 0.8, 70.6, 0.5, 9.2, 0.636, 6.416666666666667], '20220401-20220414']]"
Jarron Coleman,"[[[9.6, 187.9, 11.2, 75.0, 78.2, 0.0, 8.3, 23.1, 0.0, 3.4, 1.5, 25.0, 0.0, 10.9, 0.571, 6.416666666666667], '20211101-20211114'], [[-5.4, 71.2, 20.9, 37.2, 38.2, 0.8, 14.8, 26.4, 30.0, 0.9, 0.8, 15.4, 0.476, 7.5, 0.167, 6.416666666666667], '20211114-20211201'], [[2.4, 102.7, 21.6, 58.9, 57.8, 1.3, 17.0, 11.9, 20.0, 0.0, 0.7, 10.7, 0.643, 10.1, 0.357, 6.416666666666667], '20211214-20220101'], [[-0.5, 96.4, 29.4, 43.1, 45.5, 5.7, 10.8, 37.9, 16.0, 0.0, 0.0, 20.7, 0.385, 15.1, 0.313, 6.416666666666667], '20220101-20220114'], [[1.4, 97.7, 23.7, 51.0, 53.9, 4.1, 12.2, 20.3, 25.5, 0.6, 2.2, 24.5, 0.4, 9.0, 0.417, 6.416666666666667], '20220114-20220201'], [[-1.7, 87.8, 20.0, 45.2, 44.5, 2.6, 10.6, 19.4, 25.3, 1.2, 3.9, 3.2, 0.455, 11.3, 0.3, 6.416666666666667], '20220201-20220214'], [[-3.7, 65.7, 19.3, 33.0, 35.1, 1.9, 11.7, 17.3, 26.8, 1.8, 2.1, 12.8, 0.263, 9.7, 0.25, 6.416666666666667], '20220214-20220301'], [[-7.2, 67.0, 17.9, 36.0, 39.5, 0.0, 10.5, 14.0, 36.9, 0.9, 2.1, 24.0, 0.375, 8.7, 0.235, 6.416666666666667], '20220301-20220314']]"
Alex Barcello,"[[[15.8, 147.6, 21.6, 81.3, 88.6, 0.0, 5.7, 27.4, 20.8, 0.0, 0.9, 93.8, 0.778, 6.3, 0.571, 6.166666666666667], '20211101-20211114'], [[10.7, 135.7, 20.8, 54.4, 62.4, 1.5, 15.1, 17.8, 6.3, 0.0, 1.7, 55.6, 0.538, 8.2, 0.368, 6.166666666666667], '20211114-20211201'], [[9.6, 119.6, 25.9, 54.1, 58.9, 0.8, 10.8, 17.8, 8.1, 0.0, 2.5, 32.8, 0.474, 9.7, 0.435, 6.166666666666667], '20211201-20211214'], [[3.6, 118.3, 22.1, 56.3, 62.4, 2.2, 8.6, 11.3, 18.9, 0.0, 0.5, 30.0, 0.3, 10.5, 0.55, 6.166666666666667], '20211214-20220101'], [[5.7, 110.0, 25.7, 51.3, 51.3, 1.3, 22.0, 29.5, 13.0, 0.0, 0.7, 10.3, 0.381, 12.0, 0.444, 6.166666666666667], '20220101-20220114'], [[5.6, 111.1, 25.6, 52.9, 56.7, 2.2, 10.7, 18.3, 14.4, 0.0, 2.0, 22.9, 0.432, 11.1, 0.424, 6.166666666666667], '20220114-20220201'], [[8.5, 130.7, 21.4, 66.0, 69.1, 0.8, 9.1, 18.6, 11.3, 0.0, 1.6, 30.0, 0.545, 11.2, 0.5, 6.166666666666667], '20220201-20220214'], [[5.6, 110.7, 22.4, 41.9, 48.5, 1.2, 17.8, 19.5, 10.5, 0.0, 1.8, 29.7, 0.5, 12.3, 0.238, 6.166666666666667], '20220214-20220301'], [[7.4, 107.5, 31.3, 54.0, 61.3, 0.0, 8.9, 20.6, 20.4, 0.0, 1.9, 64.0, 0.563, 8.2, 0.333, 6.166666666666667], '20220301-20220314'], [[-2.9, 90.3, 23.7, 45.0, 44.7, 0.0, 13.0, 21.3, 18.8, 0.0, 1.1, 7.5, 0.5, 12.2, 0.273, 6.166666666666667], '20220314-20220401']]"
MJ Randolph,"[[[8.9, 16.4, 125.3, 31.5, 61.8, 66.4, 3.0, 18.6, 52.4, 14.0, 0.0, 1.5, 41.2, 0.643, 4.4, 0.333, 6.333333333333333], '20211101-20211114'], [[0.7, 0.7, 83.3, 25.4, 35.9, 42.5, 1.8, 12.9, 14.1, 13.1, 1.2, 3.9, 43.6, 0.378, 1.1, 0.0, 6.333333333333333], '20211114-20211201'], [[1.9, 3.1, 91.0, 27.4, 41.0, 47.2, 4.5, 15.8, 13.4, 16.3, 0.0, 4.5, 26.0, 0.364, 3.0, 0.5, 6.333333333333333], '20211201-20211214'], [[4.3, 4.5, 101.2, 30.1, 51.8, 54.7, 3.8, 12.3, 16.5, 14.5, 0.9, 1.9, 26.8, 0.479, 3.9, 0.5, 6.333333333333333], '20211214-20220101'], [[4.1, 1.7, 105.4, 30.4, 63.3, 62.9, 4.2, 15.6, 24.8, 23.7, 0.0, 1.5, 53.3, 0.628, 1.0, 0.5, 6.333333333333333], '20220101-20220114'], [[1.8, -5.0, 92.6, 31.5, 40.1, 48.5, 4.8, 10.4, 17.8, 20.7, 0.0, 2.6, 72.1, 0.418, 1.8, 0.143, 6.333333333333333], '20220114-20220201'], [[1.7, 1.2, 91.3, 26.5, 40.0, 43.5, 3.6, 21.7, 29.7, 14.6, 0.0, 3.5, 40.0, 0.431, 1.5, 0.0, 6.333333333333333], '20220201-20220214'], [[2.5, -1.0, 96.9, 28.8, 52.2, 55.1, 3.3, 12.8, 26.1, 21.5, 1.0, 2.5, 40.3, 0.574, 1.9, 0.0, 6.333333333333333], '20220214-20220301'], [[2.0, -4.1, 93.2, 28.7, 43.3, 50.5, 4.2, 10.0, 7.1, 16.0, 0.0, 2.3, 53.3, 0.5, 3.1, 0.0, 6.333333333333333], '20220301-20220314']]"
Felipe Haase,"[[[14.1, 143.4, 22.0, 86.0, 84.4, 7.9, 12.9, 17.3, 16.1, 1.6, 2.9, 44.0, 0.667, 9.2, 0.692, 6.75], '20211101-20211114'], [[6.1, 124.3, 17.6, 71.9, 74.6, 5.4, 20.5, 10.9, 21.0, 1.7, 2.3, 18.8, 0.667, 9.2, 0.5, 6.75], '20211114-20211201'], [[5.0, 128.2, 19.9, 65.9, 68.1, 3.8, 12.2, 12.2, 14.9, 1.6, 2.5, 25.0, 0.583, 8.4, 0.5, 6.75], '20211201-20211214'], [[4.9, 117.6, 16.6, 47.1, 52.9, 6.0, 9.6, 26.1, 9.6, 1.5, 3.1, 35.3, 0.286, 8.0, 0.4, 6.75], '20211214-20220101'], [[9.3, 141.9, 22.6, 62.5, 71.8, 1.1, 12.3, 24.6, 9.3, 1.0, 1.1, 78.1, 0.533, 8.9, 0.471, 6.75], '20220101-20220114'], [[3.4, 110.5, 20.6, 56.1, 60.6, 3.6, 21.6, 25.6, 19.9, 0.6, 1.4, 33.3, 0.583, 9.0, 0.364, 6.75], '20220114-20220201'], [[5.2, 119.3, 24.9, 50.9, 55.5, 5.5, 14.6, 20.3, 8.7, 0.9, 0.9, 23.2, 0.517, 11.7, 0.333, 6.75], '20220201-20220214'], [[0.9, 102.0, 25.8, 44.0, 50.8, 2.0, 14.6, 11.3, 12.7, 2.6, 2.8, 38.0, 0.542, 12.2, 0.231, 6.75], '20220214-20220301'], [[3.3, 116.3, 21.1, 67.6, 70.6, 2.4, 15.4, 10.7, 23.6, 2.3, 2.0, 17.6, 0.636, 6.0, 0.5, 6.75], '20220301-20220314']]"
